,h,b,tw,tf,r,m,P,A,Avz,Avy,Iy,iy,Wely,Wply,Iz,iz,Welz,Wplz,IT,WT,Iw,Ww
,mm,mm,mm,mm,mm,kg/m,m,mm2,mm2,mm2,mm4,mm,mm3,mm3,mm4,mm4,mm3,mm3,mm4,mm3,mm6,mm4
IPE80,80,46,3.8,5.2,5,6,0.328,764,358,478,801400,32.4,20030,23220,84890,10.5,3691,5818,6727,1770,115100000,135200
IPE100,100,55,4.1,5.7,7,8.1,0.4,1032,508,627,1710000,40.7,34200,39410,159200,12.4,5789,9146,11530,2812,342100000,266800
IPE120,120,64,4.4,6.3,7,10.4,0.475,1321,631,806,3178000,49,52960,60730,276700,14.5,8646,13580,16890,3839,872000000,483400
IPE140,140,73,4.7,6.9,7,12.9,0.551,1643,764,1007,5412000,57.4,77320,88340,449200,16.5,12310,19250,24010,5109,1951000000,808200
IPE160,160,82,5,7.4,9,15.8,0.623,2009,966,1214,8693000,65.8,108700,123900,683100,18.4,16660,26100,35300,7060,3889000000,1252000
IPE180,180,91,5.3,8,9,18.8,0.698,2395,1125,1456,13170000,74.2,146300,166400,1009000,20.5,22160,34600,47230,8911,7322000000,1882000
IPE200,200,100,5.6,8.5,12,22.4,0.768,2848,1400,1700,19430000,82.6,194300,220600,1424000,22.4,28470,44610,68460,12220,12746000000,2683000
IPE220,220,110,5.9,9.2,12,26.2,0.848,3337,1588,2024,27720000,91.1,252000,285400,2049000,24.8,37250,58110,89820,15220,22310000000,3874000
IPE240,240,120,6.2,9.8,15,30.7,0.922,3912,1914,2352,38920000,99.7,324300,366600,2836000,26.9,47270,73920,127400,20550,36680000000,5354000
IPE270,270,135,6.6,10.2,15,36.1,1.041,4595,2214,2754,57900000,112.3,428900,484000,4199000,30.2,62200,96950,157100,23800,69469000000,7974000
IPE300,300,150,7.1,10.7,15,42.2,1.16,5381,2568,3210,83560000,124.6,557100,628400,6038000,33.5,80500,125200,197500,27820,1.24E+11,11520000
IPE330,330,160,7.5,11.5,18,49.1,1.254,6261,3081,3680,117700000,137.1,713100,804300,7881000,35.5,98520,153700,275900,36790,1.96E+11,15490000
IPE360,360,170,8,12.7,18,57.1,1.353,7273,3514,4318,162700000,149.5,903600,1019000,10430000,37.9,122800,191100,370800,46350,3.09E+11,21070000
IPE400,400,180,8.6,13.5,21,66.3,1.467,8446,4269,4860,231300000,165.5,1156000,1307000,13180000,39.5,146400,229000,504100,58620,4.83E+11,27930000
IPE450,450,190,9.4,14.6,21,77.6,1.605,9882,5085,5548,337400000,184.8,1500000,1702000,16760000,41.2,176400,276400,660500,70270,7.81E+11,37970000
IPE500,500,200,10.2,16,21,90.7,1.744,11552,5987,6400,482000000,204.3,1928000,2194000,21420000,43.1,214200,335900,886200,86880,1.24E+12,51280000
IPE550,550,210,11.1,17.2,24,105.5,1.877,13442,7234,7224,671200000,223.5,2441000,2787000,26680000,44.5,254100,400500,1217000,109600,1.86E+12,66890000
IPE600,600,220,12,19,24,122.4,2.015,15598,8378,8360,920800000,243,3069000,3512000,33870000,46.6,307900,485600,1646000,137200,2.81E+12,88510000
